id,title,short_description,event_type,location_name,address,city,city_aliases,country,latitude,longitude,venue_type,indoor_outdoor,season,age_min,age_max,duration_minutes,price_dt,budget_band,requires_authorization,tags,educational_value,recommended_label
1,Atelier dessin créatif,"Dessin, formes et couleurs pour développer l’imagination et la motricité fine.",ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,2,6,45,8,LOW,False,art;dessin;couleurs;motricite_fine,HIGH,HIGHLY_RECOMMENDED
2,Atelier pâte à modeler,Modelage sensoriel avec formes simples et consignes adaptées aux petits.,ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,2,5,40,6,LOW,False,sensoriel;pate_a_modeler;motricite_fine,HIGH,HIGHLY_RECOMMENDED
3,Lecture de contes illustrés,"Histoires, images et échanges pour stimuler le langage et l’écoute.",ACTIVITE,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,2,5,30,0,LOW,False,lecture;contes;langage;calme,VERY_HIGH,HIGHLY_RECOMMENDED
4,Atelier musique et rythme,"Percussions simples, chansons et jeux de rythme pour la coordination.",ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,2,6,40,10,LOW,False,musique;rythme;coordination,HIGH,HIGHLY_RECOMMENDED
5,Jeux éducatifs en groupe,Défis coopératifs et jeux d’attention pour apprendre à attendre son tour.,ACTIVITE,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,3,6,35,0,LOW,False,cooperation;attention;groupe,HIGH,HIGHLY_RECOMMENDED
6,Atelier jardinage en pot,"Semis, observation des graines et vocabulaire autour du vivant.",ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,PRINTEMPS,3,6,55,12,LOW,False,jardinage;nature;sciences,VERY_HIGH,HIGHLY_RECOMMENDED
7,Parcours motricité doux,"Tunnel, cerceaux et équilibre dans un parcours sécurisé à la garderie.",ACTIVITE,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,2,6,45,0,LOW,False,motricite;equilibre;coordination,HIGH,HIGHLY_RECOMMENDED
8,Atelier cuisine saine,Préparation de brochettes de fruits et discussion sur l’hygiène alimentaire.,ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,3,6,50,14,LOW,False,cuisine;nutrition;hygiene,VERY_HIGH,HIGHLY_RECOMMENDED
9,Expériences eau et couleurs,"Mélanges, transvasements et observation des couleurs.",ACTIVITE,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ETE,2,6,40,6,LOW,False,sensoriel;eau;couleurs;sciences,HIGH,HIGHLY_RECOMMENDED
10,Mini théâtre des émotions,"Mimes et marionnettes pour reconnaître joie, colère et peur.",ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,3,6,45,8,LOW,False,emotions;theatre;expression,VERY_HIGH,HIGHLY_RECOMMENDED
11,Yoga ludique enfants,"Postures animales, respiration et retour au calme.",ACTIVITE,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,3,6,35,7,LOW,False,yoga;calme;respiration,HIGH,HIGHLY_RECOMMENDED
12,Atelier tri sélectif,Jeu de tri des déchets et sensibilisation écologique simple.,ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,4,6,40,0,LOW,False,ecologie;tri;responsabilite,VERY_HIGH,HIGHLY_RECOMMENDED
13,Comptines bilingues,Comptines en français et arabe tunisien pour enrichir le vocabulaire.,ACTIVITE,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,2,5,30,0,LOW,False,langage;comptines;bilingue,HIGH,HIGHLY_RECOMMENDED
14,Peinture avec tampons naturels,"Peinture avec feuilles, éponges et formes végétales.",ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,AUTOMNE,2,6,45,9,LOW,False,peinture;nature;creativite,HIGH,HIGHLY_RECOMMENDED
15,Atelier petits scientifiques,"Aimants, ombres et objets flottants en mini expériences guidées.",ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,4,6,50,12,LOW,False,sciences;observation;curiosite,VERY_HIGH,HIGHLY_RECOMMENDED
